id,root_id,time,title,content,author,type
1,49268,00:47,Приоритетное Оповещение,"На станции будет проходить турнир по боксу, победитель турнира получит золотой пояс победителя и прибавку к зарплате","",station
2,49268,01:34,Приоритетное Оповещение,Процедура смены экипажа начата. Шаттл вызван. Он прибудет через 10 минут.,"",station
3,49268,01:43,Приоритетное Оповещение,Шаттл Транспортировки Экипажа пристыковался к станции в соответствии с расписанием. Отправление через 3 минуты.,"",station
4,49268,01:47,Приоритетное Оповещение,Шаттл Транспортировки Экипажа покинул станцию. Остается 2 минуты до стыковки шаттла к Центральному Командованию.,"",station
2459,49503,"",Оповещение Центрального Командования,На сканерах дальнего действия зафиксирован гиперэнерегетический волновой поток. Ожидаемое местоположение: AI Satellite Teleporter Room.,"",centcomm
2460,49503,"",Оповещение Центрального Командования,"Обнаружена массовая миграция неизвестных форм жизни вблизи КСН Исход, приготовьтесь.","",centcomm
2461,49503,"",Приоритетное Оповещение,Процедура смены экипажа начата. Шаттл вызван. Он прибудет через 10 минут.,"",station
5,49269,00:00,Оповещение от ИИ,Приветствие,Mr. Walker,station
6,49269,00:02,Оповещение от ИИ,"Реклама ботаники: &#34;Записываемся на клонирование в ботанику, также можно получить персональную диону с вашим именем, её можно носить в сумочке, на шее, как шарфик, и в руках. Не тяжёлые, БЕСПЛАТНО ПЕРВЫМ 5-ТИ КЛИЕНТАМ&#34;",Mr. Walker,station
7,49269,00:08,Оповещение от ИИ,Неизвестный вторженец и борг убили человека.,Mr. Walker,station
8,49269,00:09,Внимание! Код безопасности повышен до Синего,"Командование получило надежную информацию о возможной враждебной активности на борту станции. Служба безопасности может носить оружие на виду, однако, не следует вынимать его без необходимости. Разрешается личный обыск персонала и отсеков станции без предварительных санкций.","",station
9,49269,00:10,Оповещение от ИИ,ИИ Уничтожен боргом,Mr. Walker,station
10,49269,00:16,Оповещение от ИИ,ИИ вновь активен. Спасён боргом и учёными.,Mr. Walker,station
11,49269,00:19,Приоритетное Оповещение,Эвакуационный Шаттл был вызван. Он прибудет через 10 минут.,"",station
2462,49503,"",Приоритетное Оповещение,Шаттл Транспортировки Экипажа пристыковался к станции в соответствии с расписанием. Отправление через 3 минуты.,"",station
2463,49503,"",Внимание! Код безопасности повышен до Синего,"Командование получило надежную информацию о возможной враждебной активности на борту станции. Служба безопасности может носить оружие на виду, однако, не следует вынимать его без необходимости. Разрешается личный обыск персонала и отсеков станции без предварительных санкций.","",station
2464,49503,"",Приоритетное Оповещение,Шаттл Транспортировки Экипажа покинул станцию. Остается 2 минуты до стыковки шаттла к Центральному Командованию.,"",station
2465,49505,"",Приоритетное Оповещение,Процедура смены экипажа начата. Шаттл вызван. Он прибудет через 10 минут.,"",station
1735,49434,00:05,Оповещение от ИИ,"Токсинная захвачена блобом. Станция закрывается на карантин, эвакуация невозможна.",Gramm,station
5380,49770,01:24,Оповещение Центрального Командования,На сканерах дальнего действия обнаружена пирокластическая аномалия. Ожидаемое местоположение: Execution.,"",centcomm
2858,49541,00:02,Оповещение из Кабинета ГП,"Приветствую персонал, станция нуждается в инженерах и сотрудниках карго, желающие подойдите к стойке ГП! Удачной смены!","",station
2859,49541,00:33,Оповещение Центрального Командования,"Обнаружены неизвестные формы жизни вблизи КСН Исход, приготовьтесь.","",centcomm
2860,49541,00:35,Оповещение Центрального Командования,Обнаружен вредный грибок на станции. Структура станции может быть заражена.,"",centcomm
2861,49541,00:43,Внимание! Код безопасности повышен до Синего,"Командование получило надежную информацию о возможной враждебной активности на борту станции. Служба безопасности может носить оружие на виду, однако, не следует вынимать его без необходимости. Разрешается личный обыск персонала и отсеков станции без предварительных санкций.","",station
2886,49541,01:45,Приоритетное Оповещение,"Я запрещаю Нар-Си, из-за него меня убили солдаты.","",station
5381,49770,01:57,Оповещение от ИИ,Искуственный интеллект &#34;Легион&#34; загружен в системы станций &#34;Исход&#34;. Здраствуйте экипаж станций.,Legion,station
12,49269,00:19,Приоритетное Оповещение,Был аннулирован доступ на все технические туннели.,"",station
13,49269,00:21,Оповещение от ИИ,Противник в капитанской и телепортной,Mr. Walker,station
14,49269,00:23,Оповещение от ИИ,До прибытия шаттла: 6 минут.,Mr. Walker,station
15,49269,00:24,"","<font face=""Verdana"" color=""black""><center><font size=""4""><b>Командный Cостав КСН &#34;Исход&#34;</b><br>Отчет вызова экстренной команды</font></center><br><hr>Полное имя представителя командования: <span class=""paper_field""><font face=""Verdana"" color=""black"">Сергей Сверлов</font></span><br>Должность: <span class=""paper_field""><font face=""Verdana"" color=""black"">Глава Персонала</font></span><br>Бортовое время: 12:21<br>Тип экстренной ситуации: <span class=""paper_field""><font face=""Verdana"" color=""black"">Нападение</font></span><br>Размеры ущерба/Сколько погибло/Текущее состояние всей станции и персонала: <span class=""paper_field""><font face=""Verdana"" color=""black"">30% станции/ 9-10 человек/ Станция повреждена в некоторых местах, персонал не может отбиваться.</font></span><br><hr><b>Краткое/Полное изложение сути проишествия:</b><br><span class=""paper_field""><font face=""Verdana"" color=""black"">На нас напал человек с очень интересными способностями, а именно: Блюспейс перемещение, шар огня (?) и создание странныз боргов, которые очень быстро убивают персонал. Запрашиваем помощь, так как Служба безопасности уничтожена.</font></span><br><hr>Составитель: <span class=""sign_field""><font face=""Verdana"" color=""black""><font face=""Times New Roman""><i>Sergey Sverlov</i></font> </font></span><br><hr>Место для штампов.</font>
<div style=""margin-top:20px;margin-left:3px""><font size=""5""><div style=""border-color:#1f66a0;color:#6ec0ea;display:inline;border-width:2px;border-style:solid;padding:3px"">Head of Personnel</div></font></div>",Sergey Sverlov,fax-station
16,49269,00:26,Оповещение от ИИ,"Взрыв в отбытии, дегерметизация, вражеские борги там.",Mr. Walker,station
17,49269,00:29,Оповещение от ИИ,"Отбытие уничтожено, персоналу проследовать на ПОДЫ.",Mr. Walker,station
18,49269,00:29,Приоритетное Оповещение,Эвакуационный Шаттл пристыковался к станции. У вас есть 3 минуты для посадки.,"",station
19,49269,00:31,Приоритетное Оповещение,Эвакуационный Шаттл покинул станцию. Остается 2 минуты до стыковки шаттла к Центральному Командованию.,"",station
20,49269,00:32,Оповещение Центрального Командования,В системах тюремного заключения КСН Исход обнаружен Gr3y.T1d3. Рекомендуется привлечь ИИ.,"",centcomm
21,49270,00:42,Оповещение Центрального Командования,"Биосканеры зафиксировали размножение ящериц, местоположение: церковь. Избавьтесь от них, пока они не начали влиять на производительность.","",centcomm
22,49270,01:13,Оповещение Центрального Командования,"На борту КСН Исход обнаружен неконтролируемый брендовый интеллект, приготовьтесь.","",centcomm
23,49270,01:42,Приоритетное Оповещение,Процедура смены экипажа начата. Шаттл вызван. Он прибудет через 10 минут.,"",station
24,49270,01:52,Приоритетное Оповещение,Шаттл Транспортировки Экипажа пристыковался к станции в соответствии с расписанием. Отправление через 3 минуты.,"",station
25,49270,01:54,Приоритетное Оповещение,Шаттл Транспортировки Экипажа покинул станцию. Остается 2 минуты до стыковки шаттла к Центральному Командованию.,"",station
26,49272,00:29,Оповещение Центрального Командования,"Биосканеры зафиксировали размножение ящериц, местоположение: кухня. Избавьтесь от них, пока они не начали влиять на производительность.","",centcomm
27,49272,00:50,Оповещение Центрального Командования,На сканерах дальнего действия зафиксирован гиперэнерегетический волновой поток. Ожидаемое местоположение: Port Primary Hallway.,"",centcomm
28,49272,02:39,Приоритетное Оповещение,Процедура смены экипажа начата. Шаттл вызван. Он прибудет через 10 минут.,"",station
29,49272,02:49,Приоритетное Оповещение,Шаттл Транспортировки Экипажа пристыковался к станции в соответствии с расписанием. Отправление через 3 минуты.,"",station
30,49272,02:52,Приоритетное Оповещение,Шаттл Транспортировки Экипажа покинул станцию. Остается 2 минуты до стыковки шаттла к Центральному Командованию.,"",station
31,49275,00:34,Оповещение от ИИ,ИИ активен,NAAAASH,station
32,49275,00:39,Оповещение от ИИ,Се умирает в инженерном. Запрос помощи,NAAAASH,station
33,49275,00:44,Оповещение от ИИ,Включите датчики костюмов в 3 режим,NAAAASH,station
1747,49434,00:25,Оповещение Центрального Командования,Биологическая опасность достигла критической массы. Потеря станции неминуема.,"",centcomm
2466,49505,"",Приоритетное Оповещение,Шаттл Транспортировки Экипажа пристыковался к станции в соответствии с расписанием. Отправление через 3 минуты.,"",station
2467,49505,"",Приоритетное Оповещение,Шаттл Транспортировки Экипажа покинул станцию. Остается 2 минуты до стыковки шаттла к Центральному Командованию.,"",station
5382,49770,02:04,Оповещение от ИИ,ИИ подмечает то что если никто из членов экипажа не включат сингулярность/тесла то все умрут.,Legion,station
5383,49770,02:08,Оповещение от ИИ,В связи с тем то что скоро энергия станций подойдёт к концу ИИ вынужден вызвать эвакуационный шаттл.(1 закон уже невозможно исполнить),Legion,station
34,49275,00:49,Оповещение от ИИ,Индюк в приемный медбея рассказывал интерну что у него бессмертная душа и он &#34;Говном мается&#34;,NAAAASH,station
35,49275,00:59,Оповещение из Кабинета СИ,"Итак...собственно я обязан сказать спасибо всем тем кто меня вытаскивал, уж не думал я что окажусь в таких условиях но спасибо всем тем кто помогал","",station
36,49275,01:01,Оповещение от ИИ,ИИ вас лю... люб... перезагрузка короче.,NAAAASH,station
37,49275,01:18,Оповещение от ИИ,ИИ активен. Запрос СБ в дормы,NAAAASH,station
38,49275,01:57,Оповещение от ИИ,ИИ увидел на бумажке рядом с мимом код - 10415,NAAAASH,station
39,49275,02:04,Оповещение от ИИ,Ксеноморф напал на частного детектива и был убить бипски,NAAAASH,station
40,49275,02:09,Приоритетное Оповещение,Процедура смены экипажа начата. Шаттл вызван. Он прибудет через 10 минут.,"",station
41,49275,02:09,Оповещение от ИИ,Взлом системы станции зафиксирован в баре,NAAAASH,station
42,49275,02:13,Оповещение от ИИ,ученый перегрел форон. Взрыв трубы. Атмосферная тревога в токсинной,NAAAASH,station
43,49275,02:16,Оповещение Центрального Командования,Подтвержден 5 уровень биологической угрозы на борту КСН Исход. Персонал должен предотвратить распространение заражения. Активирован протокол изоляции экипажа станции.,"",centcomm
44,49275,02:19,Приоритетное Оповещение,Шаттл Транспортировки Экипажа пристыковался к станции в соответствии с расписанием. Отправление через 3 минуты.,"",station
