id,factions_id,real_number_members,captured_areas,end_favor,end_piety,runes_on_station,anomalies_destroyed
1,44,14,1,741,251.602,10,172
2,59,20,2,2385,441.008,12,254
3,73,0,0,1000,0,0,0
4,113,10,1,2560.5,161.052,7,200
5,195,0,0,1000,0,0,0
6,290,0,0,1000,0,0,0
7,297,2,0,1000,0,0,0
8,315,0,0,1000,0,0,0
9,374,13,8,10000,1195.41,9,508
10,387,8,9,5999,984.913,20,215
11,393,8,1,3128,322.8,6,473
12,408,1,0,1000,0,0,0
13,434,36,3,814,403.903,35,394
14,442,0,0,1000,0,0,0
15,476,4,5,7240.85,574.084,7,55
16,482,0,0,1000,0,0,0
17,488,6,1,5073,242.313,4,624
18,498,0,0,1000,0,0,0
19,509,0,0,1000,0,0,0
20,549,5,2,2365.1,161.51,8,636
21,593,14,6,4946.5,544.65,21,237
22,600,0,0,1000,0,0,0
23,611,1,5,10000,1107.29,6,278
24,627,1,0,1000,0,0,0
25,635,0,0,1000,0,0,0
26,636,4,8,10000,1053.7,14,309
27,647,0,0,1000,0,0,0
28,744,19,8,9340,1603.42,41,716
29,750,0,0,1000,0,0,0
30,762,31,7,9216,903.106,46,1035
31,780,0,0,1000,0,0,0
32,817,0,0,1000,0,0,0
33,882,51,12,10000,1043.1,65,1206
34,888,6,8,3469.08,256.908,22,408
35,909,11,4,6196.5,579.656,17,707
36,930,10,2,2965,401.506,12,422
37,932,27,6,6042,789.193,15,594
38,970,1,0,1000,0,0,0
39,975,15,8,7484.8,607.243,45,766
40,979,0,0,1000,0,0,0
41,1022,28,9,5703,527.799,48,618
42,1038,11,5,9244,699.395,15,217
43,1048,2,0,1000,0,0,0
44,1055,28,7,9568,661.801,37,580
45,1070,29,22,10000,1935.49,64,1521
46,1072,6,1,3894,279.404,8,441
47,1123,0,0,1000,0,0,0
48,1132,6,1,764.3,211.432,4,164
49,1165,0,0,1000,0,0,0
50,1170,0,0,1000,0,0,0
51,1176,2,0,1000,0,0,0
52,1183,0,0,1000,0,0,0
53,1186,0,0,1000,0,0,0
54,1211,10,2,9719,371.927,14,368
55,1238,23,4,10000,794.606,38,1346
56,1255,0,0,1000,0,0,0
57,1262,0,0,1000,0,0,0
58,1267,4,1,3856,315.611,3,77
59,1300,6,2,5388,208.817,10,377
60,1316,1,0,1000,0,0,0
61,1320,0,0,1000,0,0,0
62,1323,2,0,1000,0,0,0
63,1326,3,3,8422,782.196,7,322
64,1353,0,0,1000,0,0,0
65,1373,0,0,1000,0,0,0
66,1407,11,7,5208,598.3,18,422
67,1414,0,0,1000,0,0,0
68,1433,0,0,1000,0,0,0
69,1463,0,0,1000,0,0,0
70,1481,0,0,1000,0,0,0
71,1488,16,5,5197.8,434.776,11,228
72,1490,60,4,2759,775.893,107,980
