id,deaths_id,brute,fire,toxin,oxy,clone,brain
1,1,0,0,0,201,0,0
2,2,125.9,0,0,77.6667,0,0
3,3,90,102,0,8.66667,0,0
4,4,69.6,127,0,7.33333,0,0
5,5,17.3,138.8,1,44,0,79.4044
6,6,0,123,44,35.3333,0,0
7,7,0,0,75,125.333,0,0
8,8,10.3,123,30,40.3492,0,0
9,9,0,0,130,73.3333,0,0
10,10,0,165.5,0,35.2659,0,0
11,11,0,25,110.55,64.6667,0,20
12,12,100.8,81,0,18.2,0,0
13,13,0.2,197,0,7.33333,0,0
14,14,30,167,0,7.33333,0,0
15,15,81.4,105,0,14,0,0
16,16,40.3,153,0,9.33333,0,0
17,17,25,0,0,0,0,0
18,18,7.4,182,0,12,0,0
19,19,0,203,0,0,0,0
20,20,0,0,10,0,0,0
21,21,0,0,10,0,0,0
22,22,0,0,0,200,0,0
23,23,0,0,0,200,0,6.55111
24,24,0,0,194.05,8.66667,0,0
25,25,0,0,0,200,0,0
26,26,0,16.5,69,118.667,0,0
27,27,2,0,0,0,0,0
28,28,112.4,110.4,0,3.66667,0,0
29,29,66.2,115.2,3,22.3317,0,0
30,30,0,111,62,32.3333,0,0
31,31,0,114,59,32.3333,0,0
32,32,0,30,0,181.667,0,0
33,33,30,102,0,69.3333,0,0
34,34,46,171,3,22.6667,0,0
35,35,0,165,29,9.33333,0,0
36,36,0,176.9,9,16.3333,0,0
37,37,0,114,57,34.3333,0,0
38,38,20,0,0,180,0,0
39,39,0,0,0,200,0,0
40,40,214,0,0,11,0,20
41,41,50,0,37,118,0,0
42,42,0,0,3,0,0,0
43,43,0.9,194,0,7.33333,0,0
44,44,0,104,32,4.66667,63,0
45,45,0,195,0,6.66667,0,0
46,46,0,204,0,0,0,0
47,47,0,180,0,22.3333,0,0
48,48,1.3,153,25.65,20.6667,0,20
49,49,0,0,200,0,0,0
50,50,0,26.9,108.5,64.6667,0,0
51,51,9.9,164,29.125,4,0,0
52,52,0,0,138.025,62.6667,0,20
53,53,0,0,148.75,51.5,0,0
54,54,0,0,79,122.667,0,0
55,55,0,0,1,199.316,0,0
56,56,0,111,57,32.6667,0,0
57,57,8.7,117,42,34.6667,0,0
58,58,37.6,160,0,4,0,0
59,59,49.8,181.5,0,11,0,0
60,60,36,0,0,0,0,0
61,61,94.4,72,10.85,24.6667,0,0
62,62,60.8,114.2,0,26.3333,0,0
63,63,152.3,17,0,42.3333,0,20
64,64,0,192,0,8.66667,0,0
65,65,27.6,97.8,46.075,28.6667,0,0
66,66,0,204,0,4,0,0
67,67,0,0,0,200,0,0
68,68,182.6,0,3,17,0,100
69,69,0,50,54,101,0,0
70,70,72.4,31.9,0,96.3332,0,29.5
71,71,51.1,140.7,0,10.6667,0,0
72,72,10,111,50,33.3333,0,11.5
73,73,166.1,0,3,40,0,151.5
74,74,159,0.3,3,39.5,0,151.5
75,75,158.4,0.2,3,45,0,153
76,76,157.8,0,3,42.5,0,154
77,77,157.2,0,3,47.5,0,155.5
78,78,0,0,0,200,0,20
79,79,0,0,0,200,0,10.5
80,80,0,0,198,4.66667,0,0
81,81,211.2,0,0,1.33333,0,0
82,82,61.6,21,6,112.667,0,0
83,83,0,0,63,139.668,0,0
84,84,35.9,0,33,132.833,0,53.1467
85,85,0,0,79,126,0,0
86,86,0,0,168.5,39,0,21.4311
87,87,0,0,177.5,26,0,21.4311
88,88,0,0,186.5,17,0,21.4311
89,89,0,0,0,200,0,15
90,90,50.2,0,0,0.666667,0,70
91,91,0,0,0,20,0,0
92,92,3,196,0,4,0,0
93,93,0,0,128.199,72.6667,0,0
94,94,0,0,130,73.3333,0,0
95,95,5.6,0,0,0,0,20
96,96,15,0,3,143,39.1,65.3129
97,97,0,0,0,200,0,20
98,98,0,0,68,133,0,20
99,99,11,183,0,9.33333,0,0
100,100,202.6,0,0,22,0,0
101,101,0,20,119,61,0,20
102,102,18.8,123.7,22,36,0,0
103,103,0,199,0,3.33333,0,0
104,104,76.6,0,27,101,0,113
105,105,132.1,60,0,9.33333,0,0
106,106,0,264,0,11.6667,0,0
107,107,0,280,0,3.66667,0,0
108,108,70.1,127,0,3.33333,0,0
109,109,0,0,57,147.333,0,0
110,110,0,0,180.4,20,0,0
111,117,5,109.3,58.7,31.3333,0,0
112,118,167.8,0,14.6,25.3333,0,70
113,119,2.5,160,0,45.3333,0,0
114,120,100.5,0,0,100.667,0,20
115,121,0,0,33.95,0,0,0
116,122,0,0,33.95,0,0,0
117,123,0,0,5.7,0,0,0
118,124,0,0,5.7,0,0,0
119,125,201.5,0,0,1.33333,0,0
120,128,0,193,0,9.33333,0,0
121,129,25,0,0,0,0,0
122,130,0,0,1.4,0,0,20
123,131,96.4,0,0,104.667,0,0
124,132,121,0,43.35,35.6667,0,7.99999
125,133,66,0,40.95,93.3333,0,0
126,134,29,0,58.7999,113,0,0
127,135,0,236.6,0,7.33333,0,20
128,136,0,162,29.8,8.66667,0,0
129,137,0,165.2,11,23.8,0,0
130,138,170.7,0,8,22,0,20
131,139,0,191.7,0,8.66667,0,0
132,140,144,18,0,38,0,70
133,141,123,24,0,57,0,0
134,142,168.9,27,0,7,0,70
135,143,19.8,51.4,0,7,0,70
136,144,172.5,0,0,54.3333,0,0
137,145,139.5,48.6,7,6.66667,0,0
138,146,164.4,0,0,46.8333,0,0
139,147,167,0,0,34.5,0,11.0489
140,148,166.4,5.5,0,35.6667,0,11.0489
141,149,4.9,189.4,0,33.6667,0,0
142,150,0,50,54,101,0,0
143,151,0,272,0,8.33333,0,70
144,152,0,0,9,0,0,0
145,153,0,0,9,0,0,0
146,154,185,0,0,17.6667,0,70
147,155,46.1,147,0,9.33333,0,0
148,156,0,196,8.4,4,0,0
149,157,0,100,6,94,0,0
150,158,0,0,96,106,0,70
151,159,0,0,158.9,41.3333,0,0
152,160,204.6,0,0,2,0,20
153,161,40,160,0,16.6667,0,70
154,162,80,120,0,2.66667,0,70
155,163,150,0,0,6.66667,0,0
156,164,150,0,0,6.66667,0,0
157,165,0,0,0,0,0,70
158,166,135.1,68,0,8,0,0
159,167,0,33,0,0,0,0
160,168,0,28.3,0,0,0,0
161,169,0,204,0,4,0,0
162,170,49.9,40.9,8.75,6,0,0
163,171,47.7,27.7,8.75,6,0,0
164,172,15,0,0,0,0,0
165,173,210.3,0,0,23,0,0
166,174,147.6,15.5,21,19,0,0
167,175,146.6,30.6,24,5,0,10.6044
168,176,150,24.5,27,5,0,10.6044
169,177,65,36,0,99,0,0
170,178,52.5,150,0,7.33333,0,0
171,179,48,136.7,7,12.3333,0,0
172,180,64.7,108,0,30.3333,0,0
173,181,480.4,30,0,0,0,0
174,182,121,0,0,80.3334,0,0
