id,owner_id,owner,explanation_text,completed,target_name,type,target_assigned_role,target_special_role
1,15,Vox Shoal,We are lacking in hardware. Steal a nuclear bomb.,SUCCESS,"",/datum/objective/heist/loot,"",""
2,15,Vox Shoal,"The Shoal has a need for Emanuel Parker, the Roboticist. Take them alive.",FAIL,Emanuel Parker,/datum/objective/target/kidnap,Roboticist,""
3,15,Vox Shoal,"Do not leave any Vox behind, alive or dead.",FAIL,"",/datum/objective/heist/inviolate_crew,"",""
4,15,Vox Shoal,Follow the Inviolate. Minimise death and loss of resources.,SUCCESS,"",/datum/objective/heist/inviolate_death,"",""
5,23,Vox Shoal,Ransack the station and escape with 30 plasteel.,SUCCESS,"",/datum/objective/heist/salvage,"",""
6,23,Vox Shoal,We are lacking in hardware. Steal an ion rifle.,SUCCESS,"",/datum/objective/heist/loot,"",""
7,23,Vox Shoal,"Do not leave any Vox behind, alive or dead.",SUCCESS,"",/datum/objective/heist/inviolate_crew,"",""
8,23,Vox Shoal,Follow the Inviolate. Minimise death and loss of resources.,SUCCESS,"",/datum/objective/heist/inviolate_death,"",""
9,25,Vox Shoal,We are lacking in hardware. Steal an ion rifle.,SUCCESS,"",/datum/objective/heist/loot,"",""
10,25,Vox Shoal,"The Shoal has a need for Michail Urievich, the Bartender. Take them alive.",SUCCESS,Michail Urievich,/datum/objective/target/kidnap,Bartender,""
11,25,Vox Shoal,"Do not leave any Vox behind, alive or dead.",SUCCESS,"",/datum/objective/heist/inviolate_crew,"",""
12,25,Vox Shoal,Follow the Inviolate. Minimise death and loss of resources.,SUCCESS,"",/datum/objective/heist/inviolate_death,"",""
13,27,Vox Shoal,"The Shoal has a need for Nicole Reighner, the Scientist. Take them alive.",FAIL,Nicole Reighner,/datum/objective/target/kidnap,Scientist,""
14,27,Vox Shoal,We are lacking in hardware. Steal an ion rifle.,SUCCESS,"",/datum/objective/heist/loot,"",""
15,27,Vox Shoal,Ransack the station and escape with 150 glass.,SUCCESS,"",/datum/objective/heist/salvage,"",""
16,27,Vox Shoal,"Do not leave any Vox behind, alive or dead.",SUCCESS,"",/datum/objective/heist/inviolate_crew,"",""
17,27,Vox Shoal,Follow the Inviolate. Minimise death and loss of resources.,SUCCESS,"",/datum/objective/heist/inviolate_death,"",""
18,35,Vox Shoal,"The Shoal has a need for Colton Moore, the Medical Doctor. Take them alive.",FAIL,Colton Moore,/datum/objective/target/kidnap,Medical Doctor,""
19,35,Vox Shoal,Ransack the station and escape with 50 plasteel.,FAIL,"",/datum/objective/heist/salvage,"",""
20,35,Vox Shoal,"Do not leave any Vox behind, alive or dead.",SUCCESS,"",/datum/objective/heist/inviolate_crew,"",""
21,35,Vox Shoal,Follow the Inviolate. Minimise death and loss of resources.,SUCCESS,"",/datum/objective/heist/inviolate_death,"",""
22,39,Zobmies,Превратите всех людей на станции в зомби.,FAIL,"",/datum/objective/turn_into_zombie,"",""
23,40,Blob Conglomerate,We must grow and expand. Fill this station with our spores. Cover 1000 station tiles.,FAIL,"",/datum/objective/blob_takeover,"",""
24,44,Cult Of Blood,"Принесите в жертву Gmyza James, Captain.",SUCCESS,Gmyza James,/datum/objective/target/sacrifice,Captain,""
25,44,Cult Of Blood,"Убедитесь, что хотя бы 6 культистов улетят на шаттле, чтобы продолжить исследования на других станциях.",SUCCESS,"",/datum/objective/cult/recruit,"",""
26,44,Cult Of Blood,Призовите Нар-Си с помощью ритуала с пьедесталами на станции.,FAIL,"",/datum/objective/cult/summon_narsie,"",""
27,46,Abductor Team,Experiment on 6 humans.,FAIL,"",/datum/objective/experiment,"",""
28,47,Abductor Team,Experiment on 6 humans.,SUCCESS,"",/datum/objective/experiment,"",""
29,59,Cult Of Blood,Захватите не менее 4 отсеков станции с помощью руны захвата зон.,FAIL,"",/datum/objective/cult/capture_areas,"",""
30,59,Cult Of Blood,"Убедитесь, что хотя бы 4 культиста улетят на шаттле, чтобы продолжить исследования на других станциях.",SUCCESS,"",/datum/objective/cult/recruit,"",""
31,59,Cult Of Blood,Призовите Нар-Си с помощью ритуала с пьедесталами на станции.,FAIL,"",/datum/objective/cult/summon_narsie,"",""
32,65,Abductor Team,Experiment on 6 humans.,FAIL,"",/datum/objective/experiment,"",""
33,66,Abductor Team,Experiment on 6 humans.,FAIL,"",/datum/objective/experiment,"",""
34,68,Alien Hivemind,Улей должен жить и размножаться. Ваша численность должна превосходить экипаж станции в 1.9 раз.,FAIL,"",/datum/objective/reproduct,"",""
35,80,Vox Shoal,We are lacking in hardware. Steal six guns.,FAIL,"",/datum/objective/heist/loot,"",""
36,80,Vox Shoal,Ransack the station and escape with 50 plasteel.,SUCCESS,"",/datum/objective/heist/salvage,"",""
37,80,Vox Shoal,"Do not leave any Vox behind, alive or dead.",FAIL,"",/datum/objective/heist/inviolate_crew,"",""
38,80,Vox Shoal,Follow the Inviolate. Minimise death and loss of resources.,SUCCESS,"",/datum/objective/heist/inviolate_death,"",""
39,83,Revolution,"Capture, convert or exile from station Thomas Wild, the Chief Engineer. Assassinate if you have no choice.",FAIL,Thomas Wild,/datum/objective/target/rp_rev,Chief Engineer,""
40,83,Revolution,"Capture, convert or exile from station Keegan Hunt, the Captain. Assassinate if you have no choice.",SUCCESS,Keegan Hunt,/datum/objective/target/rp_rev,Captain,""
41,83,Revolution,"Capture, convert or exile from station Avtandil Sirikanovich, the Chief Medical Officer. Assassinate if you have no choice.",FAIL,Avtandil Sirikanovich,/datum/objective/target/rp_rev,Chief Medical Officer,""
42,83,Revolution,"Capture, convert or exile from station Christian Merryman, the Head of Personnel. Assassinate if you have no choice.",FAIL,Christian Merryman,/datum/objective/target/rp_rev,Head of Personnel,""
43,83,Revolution,"Capture, convert or exile from station Lynn Young, the Head of Security. Assassinate if you have no choice.",FAIL,Lynn Young,/datum/objective/target/rp_rev,Head of Security,""
44,83,Revolution,"Capture, convert or exile from station Carlos Alfonco Lopes, the Research Director. Assassinate if you have no choice.",HALF,Carlos Alfonco Lopes,/datum/objective/target/rp_rev,Research Director,""
45,85,Blob Conglomerate,We must grow and expand. Fill this station with our spores. Cover 500 station tiles.,FAIL,"",/datum/objective/blob_takeover,"",""
46,88,Blob Conglomerate,We must grow and expand. Fill this station with our spores. Cover 500 station tiles.,SUCCESS,"",/datum/objective/blob_takeover,"",""
47,90,Emergency Response Team,Help the station crew,SUCCESS,"",/datum/objective/custom,"",""
48,99,Alien Hivemind,Улей должен жить и размножаться. Ваша численность должна превосходить экипаж станции в 1.9 раз.,FAIL,"",/datum/objective/reproduct,"",""
49,109,Vox Shoal,Ransack the station and escape with 200 glass.,FAIL,"",/datum/objective/heist/salvage,"",""
50,109,Vox Shoal,"The Shoal has a need for Kaylie Pennington, the Medical Doctor. Take them alive.",FAIL,Kaylie Pennington,/datum/objective/target/kidnap,Medical Doctor,""
51,109,Vox Shoal,"Do not leave any Vox behind, alive or dead.",FAIL,"",/datum/objective/heist/inviolate_crew,"",""
52,109,Vox Shoal,Follow the Inviolate. Minimise death and loss of resources.,FAIL,"",/datum/objective/heist/inviolate_death,"",""
53,111,Vox Shoal,"The Shoal has a need for Mihail Kuravlev, the Station Engineer. Take them alive.",FAIL,Mihail Kuravlev,/datum/objective/target/kidnap,Station Engineer,""
54,111,Vox Shoal,Ransack the station and escape with 200 glass.,FAIL,"",/datum/objective/heist/salvage,"",""
55,111,Vox Shoal,"Do not leave any Vox behind, alive or dead.",FAIL,"",/datum/objective/heist/inviolate_crew,"",""
56,111,Vox Shoal,Follow the Inviolate. Minimise death and loss of resources.,FAIL,"",/datum/objective/heist/inviolate_death,"",""
57,113,Cult Of Blood,"Принесите в жертву Viktor Valentine, Security Officer.",FAIL,Viktor Valentine,/datum/objective/target/sacrifice,Security Officer,""
58,113,Cult Of Blood,"Убедитесь, что хотя бы 4 культиста улетят на шаттле, чтобы продолжить исследования на других станциях.",FAIL,"",/datum/objective/cult/recruit,"",""
59,115,Alien Hivemind,Улей должен жить и размножаться. Ваша численность должна превосходить экипаж станции в 1.9 раз.,FAIL,"",/datum/objective/reproduct,"",""
60,117,Syndicate Operatives,Destroy the station with a nuclear device.,FAIL,"",/datum/objective/nuclear,"",""
61,119,Zobmies,Превратите всех людей на станции в зомби.,FAIL,"",/datum/objective/turn_into_zombie,"",""
62,122,Blob Conglomerate,We must grow and expand. Fill this station with our spores. Cover 1000 station tiles.,SUCCESS,"",/datum/objective/blob_takeover,"",""
