root_id,id,name,faction_name,minor_victory,type,victory
49269,1,Wizard Federation,Wizard Federation,0,/datum/faction/wizards,1
49269,2,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49270,3,Traitors,Traitor,0,/datum/faction/traitor,0
49270,4,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49275,5,Traitors,Traitor,0,/datum/faction/traitor,1
49275,6,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49281,7,Wizard Federation,Wizard Federation,0,/datum/faction/wizards,1
49281,8,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49282,9,Borer Hivemind,Borer Hivemind,0,/datum/faction/borers,1
49283,10,Traitors,Traitor,0,/datum/faction/traitor,0
49283,11,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49284,12,Vox Shoal,Vox Shoal,0,/datum/faction/heist,0
49284,13,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49285,14,Alien Hivemind,Alien Hivemind,0,/datum/faction/infestation,0
49285,15,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49286,16,Wizard Federation,Wizard Federation,0,/datum/faction/wizards,0
49286,17,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49287,18,Traitors,Traitor,0,/datum/faction/traitor,0
49287,19,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49288,20,Blob Conglomerate,Blob Conglomerate,0,/datum/faction/blob_conglomerate,1
49288,21,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49289,22,Wizard Federation,Wizard Federation,0,/datum/faction/wizards,0
49289,23,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49290,24,Borer Hivemind,Borer Hivemind,0,/datum/faction/borers,0
49292,25,Shadowlings,Shadowlings,0,/datum/faction/shadowlings,0
49292,26,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49292,27,Blob Conglomerate,Blob Conglomerate,0,/datum/faction/blob_conglomerate,0
49292,28,Cult Of Blood,Cult Of Blood,0,/datum/faction/cult,1
49293,29,Changeling Hivemind,Changeling Hivemind,0,/datum/faction/changeling,0
49293,30,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49294,31,Mothership Rho,Abductor Team,0,/datum/faction/abductors,0
49294,32,Mothership Xi,Abductor Team,0,/datum/faction/abductors,0
49294,33,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49294,34,Borer Hivemind,Borer Hivemind,0,/datum/faction/borers,0
49295,35,Wizard Federation,Wizard Federation,0,/datum/faction/wizards,0
49295,36,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49296,37,Traitors,Traitor,0,/datum/faction/traitor,0
49296,38,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49297,39,Cult Of Blood,Cult Of Blood,0,/datum/faction/cult,0
49297,40,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49298,41,Traitors,Traitor,0,/datum/faction/traitor,0
49298,42,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49299,43,Wizard Federation,Wizard Federation,0,/datum/faction/wizards,0
49299,44,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49301,45,Traitors,Traitor,0,/datum/faction/traitor,0
49301,46,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49301,47,Cult Of Blood,Cult Of Blood,0,/datum/faction/cult,1
49304,48,Traitors,Traitor,0,/datum/faction/traitor,0
49304,49,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49305,50,Wizard Federation,Wizard Federation,0,/datum/faction/wizards,0
49305,51,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49307,52,Changeling Hivemind,Changeling Hivemind,0,/datum/faction/changeling,0
49307,53,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49309,54,Vox Shoal,Vox Shoal,0,/datum/faction/heist,1
49309,55,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49310,56,Mothership Omicron,Abductor Team,0,/datum/faction/abductors,0
49310,57,Mothership Tau,Abductor Team,0,/datum/faction/abductors,0
49310,58,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49312,59,Vox Shoal,Vox Shoal,0,/datum/faction/heist,0
49312,60,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49313,61,Traitors,Traitor,0,/datum/faction/traitor,1
49313,62,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49314,63,Borer Hivemind,Borer Hivemind,0,/datum/faction/borers,1
49315,64,Cult Of Blood,Cult Of Blood,0,/datum/faction/cult,0
49315,65,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49316,66,Vox Shoal,Vox Shoal,0,/datum/faction/heist,0
49316,67,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49317,68,Revolutionaries,Revolution,0,/datum/faction/revolution,1
49317,69,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49319,70,Traitors,Traitor,0,/datum/faction/traitor,0
49319,71,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49322,72,Syndicate Operatives,Syndicate Operatives,0,/datum/faction/nuclear,0
49322,73,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49324,74,Vox Shoal,Vox Shoal,0,/datum/faction/heist,0
49324,75,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49324,76,Borer Hivemind,Borer Hivemind,0,/datum/faction/borers,1
