id,root_id,name,start_time,assigned_role,special_role,antag_roles,leave_type,leave_time
1,49772,Arleen Morris,00:00,Station Engineer,"",,Cryopod,00:15
2,49772,Lubisha Savich,00:00,Test Subject,"",,Ghosted in Cryopod,00:21
3,49772,Otto Schulz,00:00,Head of Personnel,"",,Ghosted in Cryopod,00:25
4,49772,Max Russell,00:00,Scientist,"",,Ghosted in Cryopod,00:39
5,49772,Johnny Edwards,00:00,Paramedic,"",,Cryopod,00:47
6,49772,Sophia Siouxie,04:11,Test Subject,"",,Ghosted in Cryopod,04:31
7,49772,Alexa,01:10,AI,"",,Disconnected,01:15
8,49772,Robert Blake,01:30,Technical Assistant,"",,Disconnected,01:40
9,49772,Sullivan Ward,03:02,Technical Assistant,"",,Disconnected,03:29
10,49854,mouse (836),01:09,Animal,"",,Ghosted,01:11
11,49854,Loper Trofy,00:04,Test Subject,"",,Disconnected,00:32
12,49854,Andrey Pablo,00:00,Paramedic,"",,Disconnected,00:32
13,49854,Sand Fox O.s,00:32,AI,"",,Disconnected,00:33
14,49770,Katomou Salad,00:27,Medical Intern,"",,Cryopod,02:12
15,49770,Gatatikikichakiya,00:06,Atmospheric Technician,"",,Disconnected,00:24
16,49770,Katomou Salad,00:27,Medical Intern,"",,Disconnected,01:27
17,49770,Fodomq,01:57,Clown,"",,Disconnected,02:11
18,49780,Viktor Valentine,00:00,Scientist,"",,Ghosted in Cryopod,00:00
19,49780,Otto Schulz,00:00,Head of Personnel,"",,Ghosted in Cryopod,00:31
20,49780,Kirachikichatikitachakatir,00:17,Station Engineer,"",,Cryopod,00:33
21,49780,Franc Lafyer,00:05,Barber,"",,Cryopod,00:41
22,49780,Tamsin Winton,00:11,Medical Doctor,"",,Cryopod,00:41
23,49777,Otto,00:38,default,"",,Ghosted,00:45
24,49777,Colton Moore,00:00,Xenoarchaeologist,"",,Ghosted in Cryopod,01:07
25,49777,Adolph Nastain,00:41,Chief Medical Officer,"",,Disconnected,01:36
26,49783,Percival Shaner,00:47,Recycler,"",,Cryopod,01:19
27,49783,Tristan Garratt,00:00,Chief Engineer,"",,Ghosted,01:49
28,49783,Loper Trofy,00:24,Test Subject,"",,Cryopod,04:58
29,49783,Michael Cherry,00:27,Station Engineer,"",,Disconnected,00:59
30,49783,Loo Nash,02:59,Shaft Miner,"",,Disconnected,04:58
31,49783,Artemida Byblikova,05:03,Scientist,"",,Disconnected,05:08
32,49902,Frank Lloyd,00:00,Chaplain,Traitor,{Traitor},Ghosted,00:07
