id,root_id,name,assigned_role,special_role,antag_roles
1,49268,Chuck Newbell,Research Director,"",
2,49268,Lucas Gibson,Bartender,"",
3,49268,Marcus Fulton,Scientist,"",
4,49268,Mon'sher Joshum,Paramedic,"",
5,49268,Otto Schulz,Head of Personnel,"",
6,49268,Ka'Sherr Morrk'Ish,Roboticist,"",
7,49268,Igor Korotkov,Security Officer,"",
8,49268,Ulric Parker,Cyborg,"",
9,49268,Johnson Cowacs,Head of Security,"",
10,49268,Jerry Clewett,Chaplain,"",
11,49268,Hugo Hunt,Station Engineer,"",
12,49268,Rose Willow,Internal Affairs Agent,"",
13,49269,Raistlin the Dragon Spook,MODE,Wizard,{Wizard}
14,49269,Murlio De Lagrange,Technical Assistant,"",
15,49269,Lion Remark,Medical Intern,"",
16,49269,Toby Bush,Mime,"",
17,49269,Kitty,Clown,"",
18,49269,Max Russell,Xenoarchaeologist,"",
19,49269,Kaylie Pennington,Scientist,"",
20,49269,Rafael Sunders,Test Subject,"",
21,49269,Cassian Winton,Station Engineer,"",
22,49269,Sergey Sverlov,Head of Personnel,"",
23,49269,Max Woodward,Security Officer,"",
24,49269,Mr. Walker,AI,"",
25,49269,Troy Orgail,Botanist,"",
26,49269,Issar Hess,Scientist,"",
27,49269,Xavier Richards,Cyborg,"",
28,49269,Jamal Freeman,Shaft Miner,"",
29,49269,Takirichi,Xenobiologist,"",
30,49269,Stas Zhorov,Chemist,"",
31,49269,Franklin Zimmer,Shaft Miner,"",
32,49269,Ra'Shima Mijsha,Scientist,"",
33,49269,Baras'sa Ssizv,Recycler,"",
34,49269,Arkadiy Babushkin,Technical Assistant,"",
35,49269,Brodie McDonald,Technical Assistant,"",
36,49269,Violet Velorum,Security Officer,"",
37,49269,Dariya Nowashtein,Chief Medical Officer,"",
38,49269,Curly Mens,Head of Security,"",
39,49269,Tel Zaker,Medical Doctor,"",
40,49269,Dennis Greene,Security Officer,"",
41,49269,George Kropotkin,Warden,"",
42,49269,N.Teller,Detective,"",
43,49269,Shade of Rafael Sunders,Shade,"",
44,49269,Wraith (55),Wraith,Wizard Apprentice,{Wizard Apprentice}
45,49269,Shade of Max Woodward,Shade,"",
46,49269,Juggernaut (146),Juggernaut,Wizard Apprentice,{Wizard Apprentice}
47,49269,Shade of Curly Mens,Shade,"",
48,49269,Juggernaut (56),Juggernaut,Wizard Apprentice,{Wizard Apprentice}
49,49269,Kaylie Pennington,default,"",
50,49269,Shade of Dennis Greene,Shade,"",
51,49269,Wraith (715),Wraith,Wizard Apprentice,{Wizard Apprentice}
52,49269,Shade of Kaylie Pennington,Shade,"",
53,49269,Proteon (966),Proteon,Wizard Apprentice,{Wizard Apprentice}
54,49269,Shade of George Kropotkin,Shade,"",
55,49269,Wraith (69),Wraith,Wizard Apprentice,{Wizard Apprentice}
56,49269,Toby Bush,default,"",
57,49269,MSO-886,Positronic Brain,"",
58,49269,Naclse,default,"",
59,49269,Ingvar Erikson,Chef,"",
60,49269,Kevin Armagedon,Chef,"",
5421,49435,Westerose Krieg,Atmospheric Technician,"",
5422,49435,Victor Blame,Shaft Miner,"",
5423,49435,Brave Fly,Shaft Miner,"",
5424,49435,Marcus Arrow,Medical Doctor,"",
5425,49435,Linden Sagan,Security Officer,"",
5426,49435,Vano Novikov,Bartender,"",
5427,49435,Otto Schulz,Head of Personnel,"",
5428,49435,Alexander Sokolov,Detective,"",
5429,49435,Anastasia Zakharchenko,Research Director,"",
5430,49435,Josef Titanin,Captain,"",
5431,49435,Max Woodward,Security Officer,"",
5432,49435,Sawyer Hook,Test Subject,"",
5433,49435,Jir'rim Rajrramr,Cargo Technician,"",
5434,49435,Kuriu Qlio'kaf,Station Engineer,"",
5435,49435,John Parker,Librarian,"",
5436,49435,Oldman Kirsan,Quartermaster,"",
5437,49435,Edward Brown,Test Subject,"",
5438,49435,Johnathan Armstrong,Scientist,"",
5439,49435,Vladimir Nesterenko,Mime,"",
5440,49435,Clkwn,Clown,"",
5441,49435,mouse (9),Animal,"",
7588,49486,Daud,default,OCD Officer,{OCD Officer}
7589,49486,True,default,OCD Officer,{OCD Officer}
7590,49486,Jack Saylor,Recycler,"",
7591,49486,Gennady,default,OCD Officer,{OCD Officer}
7592,49486,Fenix,default,OCD Officer,{OCD Officer}
7593,49486,Pavel Krisin,Mime,"",
7594,49486,OBOP Head Officer,default,OCD Officer,{OCD Officer}
16531,49770,Gatatikikichakiya,Atmospheric Technician,"",
16532,49770,Katomou Salad,Medical Intern,"",
16533,49770,Colton Moore,Shaft Miner,"",
16534,49770,Fodomq,Clown,"",
16535,49771,Shagan Rock'Shur,Test Subject,"",
16536,49771,Jonathan Priebe,Security Officer,"",
16537,49771,Aisha Al-Zahrami,Paramedic,"",
16538,49771,Jake Pliskin,Bartender,Traitor,{Traitor}
16539,49771,Arleen Morris,Head of Personnel,"",
16540,49771,Hasitihika,Scientist,"",
16541,49771,Derreck Milne,Quartermaster,"",
16542,49771,Illia Bronson,Roboticist,Traitor,{Traitor}
16543,49771,Aynar Mirraunsh,Janitor,"",
16544,49771,Roman Elinov,Roboticist,"",
16545,49771,Brock Sulyard,Cyborg,"",
16546,49771,Kai Smith,Test Subject,Traitor,{Traitor}
16547,49771,Alessandro Gagliardi,Medical Doctor,"",
