id,owner_id,owner,explanation_text,completed,target_name,type,target_assigned_role,target_special_role
1,1,Raistlin the Dragon Spook,Steal a hand teleporter.,FAIL,"",/datum/objective/steal,"",""
2,1,Raistlin the Dragon Spook,Steal a head of security's jumpsuit.,FAIL,"",/datum/objective/steal,"",""
3,1,Raistlin the Dragon Spook,Steal a jetpack.,FAIL,"",/datum/objective/steal,"",""
4,1,Raistlin the Dragon Spook,Stay alive until the end.,FAIL,"",/datum/objective/survive,"",""
5,8,Aramsha Jarmack,Steal a jetpack.,FAIL,"",/datum/objective/steal,"",""
6,8,Aramsha Jarmack,Steal a jetpack.,FAIL,"",/datum/objective/steal,"",""
7,8,Aramsha Jarmack,Steal an ablative armor vest.,FAIL,"",/datum/objective/steal,"",""
8,8,Aramsha Jarmack,Stay alive until the end.,FAIL,"",/datum/objective/survive,"",""
9,9,Rafael Sunders,"Make an example of Tel Zaker, the Security Officer. Break one of their bones, detach one of their limbs or disfigure their face. Make sure they're alive when you do it.",FAIL,Tel Zaker,/datum/objective/target/harm,Security Officer,""
10,9,Rafael Sunders,Escape on the shuttle or an escape pod alive and free.,FAIL,"",/datum/objective/escape,"",""
11,10,Toby Bush,"Make an example of Aramsha Jarmack, the Station Engineer. Break one of their bones, detach one of their limbs or disfigure their face. Make sure they're alive when you do it.",FAIL,Aramsha Jarmack,/datum/objective/target/harm,Station Engineer,Traitor
12,10,Toby Bush,"Assassinate Aramsha Jarmack, the Station Engineer.",FAIL,Aramsha Jarmack,/datum/objective/target/assassinate,Station Engineer,Traitor
13,10,Toby Bush,Escape on the shuttle or an escape pod alive and free.,FAIL,"",/datum/objective/escape,"",""
14,11,Kaede Klein,Steal a sample of slime extract.,FAIL,"",/datum/objective/steal,"",""
15,11,Kaede Klein,"Assassinate Lillie Teagarden, the Paramedic.",FAIL,Lillie Teagarden,/datum/objective/target/assassinate,Paramedic,""
16,11,Kaede Klein,Stay alive until the end.,FAIL,"",/datum/objective/survive,"",""
17,12,Greyman,Steal a piece of corgi meat.,FAIL,"",/datum/objective/steal,"",""
18,12,Greyman,Steal a sample of slime extract.,FAIL,"",/datum/objective/steal,"",""
19,12,Greyman,Steal a piece of corgi meat.,FAIL,"",/datum/objective/steal,"",""
20,12,Greyman,Stay alive until the end.,FAIL,"",/datum/objective/survive,"",""
21,13,Ferdinand Bellerofont,"Assassinate Jason Snyder, the Research Assistant.",FAIL,Jason Snyder,/datum/objective/target/assassinate,Research Assistant,""
22,13,Ferdinand Bellerofont,Destroy the AI.,FAIL,"",/datum/objective/custom/wishgranter,"",""
23,13,Ferdinand Bellerofont,Steal the Captain's antique laser gun.,FAIL,"",/datum/objective/custom/wishgranter,"",""
24,13,Ferdinand Bellerofont,Kill all monkeys aboard the station.,FAIL,"",/datum/objective/custom/wishgranter,"",""
25,13,Ferdinand Bellerofont,Steal a hand teleporter.,FAIL,"",/datum/objective/custom/wishgranter,"",""
26,13,Ferdinand Bellerofont,Destroy 70% or more of the station's phoron tanks.,FAIL,"",/datum/objective/custom/wishgranter,"",""
27,13,Ferdinand Bellerofont,"Protect Curly Mens, the Security Officer.",FAIL,Curly Mens,/datum/objective/target/protect,Security Officer,""
28,14,Kaede Klein,"Make an example of Cold Winds Of Winter, the Scientist. Break one of their bones, detach one of their limbs or disfigure their face. Make sure they're alive when you do it.",FAIL,Cold Winds Of Winter,/datum/objective/target/harm,Scientist,""
29,14,Kaede Klein,Steal a nasa voidsuit.,FAIL,"",/datum/objective/steal,"",""
30,14,Kaede Klein,"Make an example of Aurili Septemus, the Test Subject. Break one of their bones, detach one of their limbs or disfigure their face. Make sure they're alive when you do it.",FAIL,Aurili Septemus,/datum/objective/target/harm,Test Subject,""
31,14,Kaede Klein,Stay alive until the end.,FAIL,"",/datum/objective/survive,"",""
32,15,Persh Levett,Steal a jetpack.,FAIL,"",/datum/objective/steal,"",""
33,15,Persh Levett,"Make an example of Makskim Shomski, the Quartermaster. Break one of their bones, detach one of their limbs or disfigure their face. Make sure they're alive when you do it.",FAIL,Makskim Shomski,/datum/objective/target/harm,Quartermaster,""
34,15,Persh Levett,Escape on the shuttle or an escape pod alive and free.,FAIL,"",/datum/objective/escape,"",""
35,12,Vox Shoal,"The Shoal has a need for Ulric Parker, the Roboticist. Take them alive.",FAIL,Ulric Parker,/datum/objective/target/kidnap,Roboticist,""
36,12,Vox Shoal,We are lacking in hardware. Steal a Gravitational Singularity Generator.,FAIL,"",/datum/objective/heist/loot,"",""
