id,owner_id,owner,explanation_text,completed,target_name,type,target_assigned_role,target_special_role
1,1,Lizard the Evil Wizard,Steal a chief engineer's jumpsuit.,FAIL,"",/datum/objective/steal,"",""
2,1,Lizard the Evil Wizard,Steal a piece of corgi meat.,FAIL,"",/datum/objective/steal,"",""
3,1,Lizard the Evil Wizard,Steal the hypospray.,FAIL,"",/datum/objective/steal,"",""
4,1,Lizard the Evil Wizard,Stay alive until the end.,SUCCESS,"",/datum/objective/survive,"",""
5,2,Frank Lloyd,Steal a functional AI.,FAIL,"",/datum/objective/steal,"",""
6,2,Frank Lloyd,"Make an example of Xander Morris, the Head of Security. Break one of their bones, detach one of their limbs or disfigure their face. Make sure they're alive when you do it.",FAIL,Xander Morris,/datum/objective/target/harm,Head of Security,""
7,2,Frank Lloyd,Stay alive until the end.,SUCCESS,"",/datum/objective/survive,"",""
8,3,Jose Butterfill,Steal a hand teleporter.,SUCCESS,"",/datum/objective/steal,"",""
9,3,Jose Butterfill,Stay alive until the end.,SUCCESS,"",/datum/objective/survive,"",""
10,4,Issar Hess,"Make an example of Kshchis'sar Nsia, the Shaft Miner. Break one of their bones, detach one of their limbs or disfigure their face. Make sure they're alive when you do it.",FAIL,Kshchis'sar Nsia,/datum/objective/target/harm,Shaft Miner,""
11,4,Issar Hess,"Make an example of Derreck Milne, the Paramedic. Break one of their bones, detach one of their limbs or disfigure their face. Make sure they're alive when you do it.",SUCCESS,Derreck Milne,/datum/objective/target/harm,Paramedic,""
12,4,Issar Hess,Escape on the shuttle or an escape pod alive and free.,SUCCESS,"",/datum/objective/escape,"",""
13,5,Jake Pliskin,Steal a head of security's jumpsuit.,FAIL,"",/datum/objective/steal,"",""
14,5,Jake Pliskin,Steal a hand teleporter.,FAIL,"",/datum/objective/steal,"",""
15,5,Jake Pliskin,Stay alive until the end.,FAIL,"",/datum/objective/survive,"",""
16,6,Kai Smith,Steal a head of personnel's jumpsuit.,FAIL,"",/datum/objective/steal,"",""
17,6,Kai Smith,"Assassinate Jake Pliskin, the Bartender.",SUCCESS,Jake Pliskin,/datum/objective/target/assassinate,Bartender,Traitor
18,6,Kai Smith,Stay alive until the end.,FAIL,"",/datum/objective/survive,"",""
