owner_id,id,name,role_name,is_roundstart_role,type,victory,faction_name,mind_name,mind_ckey
1,1,Wizard,Wizard,1,/datum/role/wizard,1,Wizard Federation,Raistlin the Dragon Spook,luduk
1,2,Wizard Apprentice,Wizard Apprentice,0,/datum/role/wizard_apprentice,1,Wizard Federation,Wraith (55),colonist
1,3,Wizard Apprentice,Wizard Apprentice,0,/datum/role/wizard_apprentice,1,Wizard Federation,Juggernaut (146),speraax
1,4,Wizard Apprentice,Wizard Apprentice,0,/datum/role/wizard_apprentice,1,Wizard Federation,Juggernaut (56),arygal
1,5,Wizard Apprentice,Wizard Apprentice,0,/datum/role/wizard_apprentice,1,Wizard Federation,Wraith (715),trustmeimaclown
1,6,Wizard Apprentice,Wizard Apprentice,0,/datum/role/wizard_apprentice,1,Wizard Federation,Proteon (966),stepansamp228pos
1,7,Wizard Apprentice,Wizard Apprentice,0,/datum/role/wizard_apprentice,1,Wizard Federation,Wraith (69),flyingdebil
3,8,Traitor,Traitor,1,/datum/role/traitor,1,Traitor,Aramsha Jarmack,chikart
3,9,Traitor,Traitor,1,/datum/role/traitor,0,Traitor,Rafael Sunders,colonist
3,10,Traitor,Traitor,1,/datum/role/traitor,1,Traitor,Toby Bush,tobybon
5,11,Traitor,Traitor,1,/datum/role/traitor,1,Traitor,Kaede Klein,individuum135
7,12,Wizard,Wizard,1,/datum/role/wizard,1,Wizard Federation,Greyman,carpo22
8,13,Traitor,Traitor,0,/datum/role/traitor,0,Traitor,Ferdinand Bellerofont,reallord
8,14,Traitor,Traitor,0,/datum/role/traitor,0,Traitor,Kaede Klein,individuum135
10,15,Traitor,Traitor,1,/datum/role/traitor,0,Traitor,Persh Levett,zzzcotzzz
12,16,Vox Raider,Vox Raider,1,/datum/role/vox_raider,1,Vox Shoal,Chitayakiya,mercurialaste
12,17,Vox Raider,Vox Raider,1,/datum/role/vox_raider,1,Vox Shoal,Chichahachikakachakahkah,mmdi
12,18,Vox Raider,Vox Raider,1,/datum/role/vox_raider,1,Vox Shoal,Tihahatayatikikahta,ruch
12,19,Vox Raider,Vox Raider,1,/datum/role/vox_raider,1,Vox Shoal,Tayakayahita,precisionandgrace
12,20,Vox Raider,Vox Raider,1,/datum/role/vox_raider,1,Vox Shoal,Chichata,marlestr
12,21,Vox Raider,Vox Raider,1,/datum/role/vox_raider,1,Vox Shoal,Yakichayakahyaya,avande
13,22,Traitor,Traitor,0,/datum/role/traitor,0,Traitor,Alpha,valois
13,23,Traitor,Traitor,0,/datum/role/traitor,0,Traitor,Max Russell,foxiq
14,24,Xenomorph,Xenomorph,1,/datum/role/alien,1,Alien Hivemind,alien queen (326),mmdi
14,25,Xenomorph,Xenomorph,1,/datum/role/alien,1,Alien Hivemind,Larry Barret,ogyr4nk
14,26,Xenomorph,Xenomorph,1,/datum/role/alien,1,Alien Hivemind,alien sentinel (441),pimap
14,27,Xenomorph,Xenomorph,1,/datum/role/alien,1,Alien Hivemind,alien hunter (394),flexrelax
14,28,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (245),inkvoid
14,29,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien queen (612),inkvoid
14,30,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (73),akakiyfrix
