id,root_id,crewscore,rating,stuffshipped,stuffharvested,oremined,researchdone,eventsendured,powerloss,mess,meals,disease,deadcommand,arrested,traitorswon,roleswon,allarrested,opkilled,disc,nuked,destranomaly,rec_antags,crew_escaped,crew_dead,crew_total,crew_survived,captain,powerbonus,messbonus,deadaipenalty,foodeaten,clownabuse,richestname,richestjob,richestcash,richestkey,dmgestname,dmgestjob,dmgestdamage,dmgestkey
1,49772,4164,Promotions for Everyone,7,24,0,51,0,0,325,7,0,0,0,0,0,0,0,0,0,0,0,5,1,16,8,"",1,0,0,35,0,Gatatikikichakiya,Atmospheric Technician,1570,FaH3uJIb,"","",0,""
2,49854,2365,Promotions for Everyone,0,0,82,7,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,7,2,12,9,"",1,0,0,22,0,Jose Butterfill,Head of Personnel,1472,Peperspray,"","",0,""
3,49770,-2546,You're All Fired,0,0,811,7,0,118,52,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,"",0,0,0,1,0,Colton Moore,Shaft Miner,240,Robicod,"","",0,""
4,49780,912,Lean Mean Machine Thirteen,0,0,2448,7,0,51,166,0,0,0,0,0,0,0,0,0,0,0,0,8,1,19,12,"",0,0,0,15,0,Tate Hussain,Shaft Miner,4240,Solaridze,"","",0,""
5,49777,2122,Promotions for Everyone,0,157,863,53,0,1,113,16,0,0,0,0,0,0,0,0,0,0,0,13,3,17,16,"",0,0,0,39,6,Harvey Powers,Head of Security,1425,CTpacTHblu JluHb,"","",0,""
6,49783,4632,Promotions for Everyone,1,0,0,72,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,"",1,0,0,24,0,"","",0,"","","",0,""
7,49902,2261,Promotions for Everyone,0,0,394,7,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,5,"",1,0,0,1,0,Anna Smith,Research Director,250,"","","",0,""
8,49853,2720,Promotions for Everyone,0,0,95,7,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,"",1,0,0,0,0,Brittany Ray,Research Director,500,Individuum135,"","",0,""
9,49881,4707,Promotions for Everyone,0,0,1849,7,0,0,117,23,0,0,0,0,0,0,0,0,0,0,0,6,0,9,7,"",1,0,0,21,7,Alex King,Chief Engineer,8450,Rombik,"","",0,""
10,49882,5586,Ambassadors of Discovery,1,7,1323,45,0,0,79,22,0,0,0,0,0,0,0,0,0,0,0,12,0,16,15,{Kane Thompson},1,0,0,23,0,Jose Butterfill,Head of Personnel,1448,Peperspray,Sivean Doulson,Shaft Miner,3,Sivean
11,49852,7042,Ambassadors of Discovery,1,0,4111,12,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,5,"",1,0,0,18,0,Derreck Milne,Paramedic,1860,Non.sugar,Ikitatikichi,Xenoarchaeologist,0,Prodocopter
12,49879,2829,Promotions for Everyone,0,0,411,7,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,2,{Pakon Rethur},1,0,0,4,1,Colton Moore,Xenoarchaeologist,1330,Robicod,Colton Moore,Xenoarchaeologist,28,Robicod
13,49771,5098,Ambassadors of Discovery,1,28,1069,71,0,0,924,4,0,0,0,0,0,0,0,0,0,0,0,8,0,16,12,"",1,0,0,55,0,Arleen Morris,Head of Personnel,1700,StepanZZZ,Johnny Edwards,Station Engineer,1,Steinbeck
14,49773,6850,Ambassadors of Discovery,8,31,1761,48,0,0,142,22,0,0,0,0,0,0,0,0,0,0,0,22,0,37,29,"",1,0,0,98,0,Tamsin Winton,Chef,6370,Shahmatist,Marks Jones,Chemist,1,Barakon
15,49774,3691,Promotions for Everyone,0,0,35,36,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,8,0,14,9,"",1,0,0,35,10,Jayce Snyder,Research Director,1690,Kalter228dead,Elizabeth Wayne,Roboticist,187,""
16,49778,4468,Promotions for Everyone,1,3,1072,60,0,0,492,2,0,0,0,0,0,0,0,0,0,0,0,0,2,47,39,"",1,0,0,14,2,"","",0,"","","",0,""
17,49782,278,Best of a Good Bunch,0,0,489,7,0,1,256,3,0,0,0,0,0,0,0,0,0,0,0,14,2,27,18,"",0,0,0,46,0,Oni,Detective,1065,Atomas,Marje Richards,Recycler,0,Chloe_Pricee
18,49776,4665,Promotions for Everyone,4,195,0,51,0,0,420,17,0,0,0,0,0,0,0,0,0,0,0,29,1,55,35,"",1,0,0,188,80,Erich Manstein,"",3960,ErizeUA,Ched Mark,Botanist,0,Rise_H4rd
19,49785,4232,Promotions for Everyone,0,1,3495,29,0,1,569,38,0,0,0,0,0,0,0,0,0,0,0,11,0,35,31,"",0,0,0,118,12,Al'tira Sh'konsen,Shaft Miner,2826,Mental eater,Georg Selinof,Scientist,0,Dojoan
20,49787,4186,Promotions for Everyone,5,5,1823,37,0,0,1487,22,0,0,0,0,1,0,0,0,0,0,0,0,0,26,25,"",1,0,0,24,0,"","",0,"","","",0,""
21,49813,1317,Promotions for Everyone,0,0,439,46,0,2,192,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,23,"",0,0,0,30,0,"","",0,"","","",0,""
22,49851,1301,Promotions for Everyone,0,0,1555,53,0,32,384,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,12,"",0,0,0,7,2,"","",0,"","","",0,""
23,49792,4191,Promotions for Everyone,0,89,0,54,0,0,473,31,0,0,0,0,0,0,0,0,0,0,0,12,0,35,19,"",1,0,0,133,39,Joseph Dreyfus,Chief Medical Officer,1485,Carpo22,Rodger Johnson,Botanist,0,Kotchan
24,49904,3083,Promotions for Everyone,2,1,3831,45,0,41,269,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,"",0,0,0,33,0,"","",0,"","","",0,""
25,49872,-1197,You're All Fired,0,0,0,7,0,18,117,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,{Harvey Powers},0,0,0,14,0,"","",0,"","","",0,""
26,49878,8623,Ambassadors of Discovery,1,36,3805,82,0,0,623,34,0,0,0,0,0,0,0,0,0,0,0,8,0,25,10,{Rafael Sunders},1,0,0,61,0,Jeff Armeter,Research Director,2000,Mrfr0zen,Rafael Sunders,Captain,16,Colonist
27,49794,3453,Promotions for Everyone,0,0,3458,7,0,1,210,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,4,{Xander Morris},0,0,0,70,7,Mr.Honky,Clown,141,TheOrangeTim,"","",0,""
28,49877,-1670,You're All Fired,0,1,0,7,0,49,166,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,"",0,0,0,6,0,"","",0,"","","",0,""
29,49808,-615,A Waste of Perfectly Good Oxygen,0,8,535,7,0,32,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,19,"",0,0,0,18,8,"","",0,"","","",0,""
30,49781,7818,Ambassadors of Discovery,4,327,3026,68,0,0,665,63,0,0,0,0,0,0,0,0,0,0,0,29,3,71,46,"",1,0,0,364,50,Salvador Leach,Head of Personnel,1470,PhantomElite,Leonid Mebrinov,Quartermaster,25,Yafacepravda2
31,49779,6483,Ambassadors of Discovery,6,64,2343,52,0,0,829,29,0,0,0,0,0,0,0,0,0,0,0,30,2,64,46,"",1,0,0,68,168,Brycen Willey,Head of Security,960,Garviuss,Michael Badger,Botanist,0,HEYBadger here
32,49806,-491,A Wretched Heap of Scum and Incompetence,0,98,628,39,0,74,317,5,0,0,0,0,0,0,0,0,0,0,0,15,1,31,22,"",0,0,0,28,7,Sergey Labuda,Technical Assistant,2395,Wandermu,Adam Harrison,Shaft Miner,7,Homeless_ranger
33,49901,-3432,You're All Fired,1,44,2165,39,0,6,1791,48,0,0,0,0,0,0,0,0,0,172,0,4,21,66,32,{Gmyza James},0,0,0,48,23,Hasitihika,Xenobiologist,550,Vysserath,"","",0,""
34,49784,9045,Ambassadors of Discovery,1,78,5135,64,0,0,353,18,0,0,0,0,1,0,0,0,0,0,0,24,3,62,43,"",1,0,0,91,26,Ivan Dzasohov,Shaft Miner,1285,Zonador,Shak'Ket Hessa,Chemist,0,Stepansamp228pos
35,49865,1698,Promotions for Everyone,5,2,2019,7,0,2,408,2,0,0,0,0,1,0,0,0,0,0,0,12,2,38,24,"",0,0,0,61,30,Jacob Stroh,"",27810,NinjaPikachushka,Fsh'akk Tim,Janitor,0,TalDaRim
36,49811,4377,Promotions for Everyone,3,0,0,53,0,0,98,2,0,0,0,0,0,0,0,0,0,0,0,6,0,25,8,{Friedrich Von Klyains},1,0,0,52,0,Sigma O'Neill,Research Director,1485,MMDI,Ty Caldwell,Quartermaster,22,Solaridze
37,49788,-4121,You're All Fired,0,105,1698,22,0,22,699,0,0,0,0,0,0,0,0,0,0,0,0,1,21,46,21,{Myron Demetrios},0,0,0,3,4,Karen,Research Director,500,Refug,"","",0,""
38,49314,2106,Promotions for Everyone,0,78,0,51,0,1,102,41,0,0,0,0,0,0,0,0,0,0,0,17,0,20,21,{Gennady Whiteman},0,0,0,60,0,Field Of Flowers,Scientist,4280,Lazarev Vladimir,"","",0,""
