id,role_id,total_tc,spent_tc
1,8,20,0
2,9,20,20
3,10,28,3
4,11,20,20
5,13,20,17
6,14,20,20
7,15,20,12
8,22,0,0
9,23,20,0
10,98,20,20
11,99,0,0
12,100,28,28
13,107,20,20
14,108,20,17
15,109,20,0
16,110,20,0
17,128,20,12
18,129,20,14
19,137,20,20
20,141,20,20
21,142,0,0
22,143,0,0
23,144,20,0
24,155,28,27
25,156,20,0
26,157,20,17
27,158,0,0
28,161,20,0
29,162,20,20
30,163,20,7
31,164,20,5
32,165,20,16
33,167,28,8
34,169,0,0
35,175,20,0
36,186,20,12
37,187,20,11
38,202,20,19
39,203,20,20
40,204,28,20
41,211,20,19
42,218,28,0
43,233,20,20
44,234,28,26
45,235,20,20
46,236,20,376
47,237,20,0
48,238,20,0
49,239,20,0
50,240,20,0
51,241,20,0
52,242,0,0
53,243,0,0
54,244,0,0
55,245,20,0
56,246,0,0
57,253,28,0
58,254,20,0
59,256,20,18
60,257,20,0
61,285,20,3
62,286,20,20
63,287,20,0
64,289,20,6
65,290,20,19
66,297,20,20
67,412,20,0
68,413,20,0
69,424,20,0
70,427,20,0
71,428,20,6
72,429,20,13
73,430,0,0
74,435,20,0
75,439,20,0
76,440,20,16
77,441,28,13
78,442,28,7
79,443,25,25
80,444,28,28
81,445,20,8
82,451,28,0
83,452,20,11
84,453,20,20
85,454,20,14
86,462,20,0
87,463,20,20
88,472,20,2
89,477,28,26
90,478,20,293
91,479,20,0
92,480,20,1
93,481,20,0
94,482,20,0
95,483,20,0
96,484,20,14
97,486,20,20
98,510,20,0
99,511,20,14
100,512,20,17
101,513,20,20
102,514,20,0
103,520,20,17
104,521,20,16
105,522,28,26
106,523,20,14
107,524,28,6
108,526,20,18
109,527,20,6
110,528,20,20
111,529,0,0
112,530,20,6
113,531,20,18
114,534,20,0
115,603,20,20
116,604,20,4
117,605,28,28
118,606,20,6
119,607,20,20
120,608,28,29
121,609,28,22
122,663,20,11
123,664,20,17
124,665,20,6
125,666,10,10
126,667,12,12
127,668,10,7
128,676,20,9
129,677,20,0
130,678,20,20
131,687,20,3
132,688,20,14
133,689,20,0
134,690,20,8
135,691,20,0
136,692,28,5
137,704,20,1
138,707,28,14
139,708,20,10
140,709,20,16
141,710,20,28
142,711,20,11
143,712,20,20
144,726,20,9
145,727,20,0
146,733,28,8
147,744,20,19
148,756,20,20
149,757,20,13
150,758,20,0
151,765,20,14
152,767,20,18
153,768,20,0
154,769,35,280
155,770,20,0
156,771,20,0
157,772,20,0
158,773,20,18
159,774,20,1
160,775,20,0
161,776,0,0
162,788,20,5
163,789,0,0
164,820,20,20
165,822,20,20
166,825,28,0
167,826,40,11
168,827,20,0
169,828,20,6
170,876,20,16
171,877,20,59
172,878,20,0
173,879,20,0
174,880,20,0
175,881,20,297
176,882,20,0
177,883,0,0
178,884,20,0
179,885,20,9
180,886,20,7
181,887,20,0
182,888,25,19
183,900,20,0
184,901,28,0
185,902,20,20
186,903,20,10
187,906,0,0
188,920,20,0
189,922,20,14
190,923,28,26
191,924,0,0
192,925,20,20
193,926,20,0
194,927,28,5
195,928,20,10
196,929,20,20
197,930,20,20
198,931,28,22
199,932,20,20
200,933,20,0
201,934,20,20
202,935,20,0
203,936,20,20
204,940,0,0
205,942,20,19
206,943,20,13
207,944,28,24
208,945,20,19
209,946,20,10
210,947,28,11
211,948,20,21
212,949,28,7
213,950,28,25
214,987,0,0
215,988,20,17
