id,uplink_info_id,cost,bundlename,item_type
1,3,14,Syndicate drone,/obj/item/weapon/storage/box/syndie_kit/drone
2,3,2,Syndicate Encryption Key,/obj/item/device/encryptionkey/syndicate
3,3,2,Syndicate Encryption Key,/obj/item/device/encryptionkey/syndicate
4,5,7,Compressed Implant,/obj/item/weapon/implanter/storage
5,5,1,Composition C-4,/obj/item/weapon/plastique
6,5,7,Miniature Energy Crossbow,/obj/item/weapon/gun/energy/crossbow
7,5,4,EMP Flashlight,/obj/item/device/flashlight/emp
8,5,6,Cryptographic Sequencer,/obj/item/weapon/card/emag
9,5,3,Explosive Implant,/obj/item/weapon/implanter/explosive
10,7,7,Miniature Energy Crossbow,/obj/item/weapon/gun/energy/crossbow
11,7,5,Energy Dagger,/obj/item/weapon/pen/edagger
12,7,2,Artificial Intelligence Detector,/obj/item/device/multitool/ai_detect
13,7,2,Syndicate Encryption Key,/obj/item/device/encryptionkey/syndicate
14,7,1,Composition C-4,/obj/item/weapon/plastique
15,7,3,Voice Changer,/obj/item/clothing/mask/gas/voice
16,8,5,Energy Dagger,/obj/item/weapon/pen/edagger
17,8,5,Chameleon-Projector,/obj/item/device/chameleon
18,8,1,Syndicate Briefcase Full of Cash,/obj/item/weapon/storage/secure/briefcase/syndie
19,8,1,Sy-Code Book,/obj/item/weapon/syndcodebook
20,8,2,Syndicate Encryption Key,/obj/item/device/encryptionkey/syndicate
21,8,1,Adaptive Cardboard Cutouts,/obj/item/weapon/storage/box/syndie_kit/cutouts
22,9,2,Syndicate Encryption Key,/obj/item/device/encryptionkey/syndicate
23,9,8,Power Fist,/obj/item/weapon/melee/powerfist
24,9,6,Adrenaline Implant,/obj/item/weapon/storage/box/syndie_kit/imp_adrenaline
25,10,6,Cryptographic Sequencer,/obj/item/weapon/card/emag
26,10,7,Energy Sword,/obj/item/weapon/melee/energy/sword/traitor
27,10,6,Stechkin Pistol,/obj/item/weapon/gun/projectile/automatic/pistol
28,11,2,Detomatix PDA Cartridge,/obj/item/weapon/cartridge/syndicate
29,11,6,Cryptographic Sequencer,/obj/item/weapon/card/emag
